rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,complain,satisfaction_score,card_type,point_earned,payment_proxy,churn,age_group,tenure_group,balance_group,average_revenue_group,annual_value_proxy,monthly_value_proxy,monthly_spend_category,customer_lifetime_value,customer_value_segment,revenue_at_risk,high_risk_customer_flag,active_status,credit_card_status,product_segment
8566,15749068,Nickson,632,France,Female,40,9,139625.34,1,1,0,93702.96,1,1,5,DIAMOND,709,DIAMOND,1,31-40,9-10 years,Very High,Medium,3735.52,311.29,Very High,33619.68,Platinum,3735.52,1,Inactive,Has Credit Card,1 product(s)
8567,15622985,Lin,679,France,Female,39,4,0.0,1,0,0,172939.3,1,1,5,GOLD,966,GOLD,1,31-40,3-5 years,Medium,Very High,1467.7,122.31,Medium,5870.8,Silver,1467.7,1,Inactive,No Credit Card,1 product(s)
8568,15587676,Alexeieva,699,France,Male,30,9,0.0,1,1,1,108162.13,0,0,4,DIAMOND,239,DIAMOND,0,18-30,9-10 years,Medium,High,780.31,65.03,Low,7022.79,Silver,0.0,0,Active,Has Credit Card,1 product(s)
8569,15779496,Sykes,615,France,Male,64,0,81564.1,2,0,1,35896.09,0,0,3,SILVER,586,SILVER,0,61+,0-2 years,Medium,Low,2343.76,195.31,Medium,2343.76,Bronze,0.0,0,Active,No Credit Card,2 product(s)
8570,15733460,Martin,622,Spain,Male,36,9,0.0,2,1,1,104852.6,0,0,3,DIAMOND,331,DIAMOND,0,31-40,9-10 years,Medium,High,929.76,77.48,Low,8367.84,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8571,15711457,Herz,755,France,Female,28,7,124540.28,1,0,1,188850.89,0,0,3,GOLD,691,GOLD,0,18-30,6-8 years,High,Very High,3900.56,325.05,Very High,27303.92,Platinum,0.0,0,Active,No Credit Card,1 product(s)
8572,15795290,Nikitina,767,France,Female,42,2,133616.39,1,1,0,28615.8,0,0,5,PLATINUM,584,PLATINUM,0,41-50,0-2 years,Very High,Low,3227.41,268.95,High,6454.82,Silver,0.0,0,Inactive,Has Credit Card,1 product(s)
8573,15611223,Ko,752,Germany,Female,38,10,101648.5,2,1,0,172001.44,0,0,1,PLATINUM,296,PLATINUM,0,31-40,9-10 years,High,Very High,3280.98,273.42,High,32809.8,Platinum,0.0,1,Inactive,Has Credit Card,2 product(s)
8574,15794159,Highett,633,France,Female,26,8,124281.84,1,1,1,60116.57,0,0,3,DIAMOND,663,DIAMOND,0,18-30,6-8 years,High,Medium,3237.72,269.81,High,25901.76,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
8575,15780677,Jackson,717,France,Female,59,4,0.0,2,1,1,170528.63,0,0,1,DIAMOND,359,DIAMOND,0,51-60,3-5 years,Medium,Very High,1272.14,106.01,Medium,5088.56,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8576,15690175,Ball,585,Spain,Male,45,0,0.0,2,0,0,189683.7,0,0,3,DIAMOND,957,DIAMOND,0,41-50,0-2 years,Medium,Very High,1666.92,138.91,Medium,1666.92,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
8577,15722599,Nelson,751,France,Female,37,9,183613.66,2,0,0,49734.94,0,0,3,SILVER,563,SILVER,0,31-40,9-10 years,Very High,Low,4442.45,370.2,Very High,39982.05,Platinum,0.0,0,Inactive,No Credit Card,2 product(s)
8578,15569976,Woronoff,754,Germany,Male,65,1,136186.44,1,1,1,121529.59,1,1,4,SILVER,413,SILVER,1,61+,0-2 years,Very High,High,3657.88,304.82,Very High,3657.88,Bronze,3657.88,1,Active,Has Credit Card,1 product(s)
8579,15707011,Morrison,495,France,Male,47,10,137682.68,1,1,0,71071.47,0,0,5,SILVER,908,SILVER,0,41-50,9-10 years,Very High,Medium,3683.01,306.92,Very High,36830.1,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
8580,15702277,Smith,650,France,Male,34,4,106005.54,1,0,1,142995.32,0,0,4,PLATINUM,387,PLATINUM,0,31-40,3-5 years,High,High,3148.59,262.38,High,12594.36,Gold,0.0,0,Active,No Credit Card,1 product(s)
8581,15801915,Rendall,529,France,Female,31,6,152310.55,1,1,0,13054.25,0,0,1,PLATINUM,691,PLATINUM,0,31-40,6-8 years,Very High,Low,3576.98,298.08,Very High,21461.88,Platinum,0.0,1,Inactive,Has Credit Card,1 product(s)
8582,15580213,McIntyre,585,France,Female,43,2,0.0,2,1,0,89402.54,0,0,4,GOLD,705,GOLD,0,41-50,0-2 years,Medium,Medium,1039.51,86.63,Low,2079.02,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
8583,15637947,Wei,668,Spain,Male,32,1,134446.04,1,0,1,111241.37,0,0,4,PLATINUM,503,PLATINUM,0,31-40,0-2 years,Very High,High,3616.63,301.39,Very High,3616.63,Bronze,0.0,0,Active,No Credit Card,1 product(s)
8584,15715888,Allardyce,591,France,Female,38,2,142289.28,1,0,1,119638.85,0,0,5,PLATINUM,392,PLATINUM,0,31-40,0-2 years,Very High,High,3759.98,313.33,Very High,7519.96,Silver,0.0,0,Active,No Credit Card,1 product(s)
8585,15732967,Cremonesi,731,France,Male,19,6,0.0,2,1,1,151581.79,0,0,4,PLATINUM,457,PLATINUM,0,18-30,6-8 years,Medium,Very High,1226.41,102.2,Medium,7358.46,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8586,15737047,Weatherford,754,France,Female,45,6,0.0,1,1,0,73881.68,1,1,2,SILVER,560,SILVER,1,41-50,6-8 years,Medium,Medium,769.41,64.12,Low,4616.46,Silver,769.41,1,Inactive,Has Credit Card,1 product(s)
8587,15694039,Jen,650,Germany,Female,46,9,149003.76,2,1,0,176902.83,0,0,3,GOLD,880,GOLD,0,41-50,9-10 years,Very High,Very High,4544.59,378.72,Very High,40901.31,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
8588,15649457,Macleod,588,Germany,Male,41,2,131341.46,2,0,1,7034.94,0,0,2,PLATINUM,306,PLATINUM,0,41-50,0-2 years,Very High,Low,3055.0,254.58,High,6110.0,Silver,0.0,0,Active,No Credit Card,2 product(s)
8589,15742809,Mironova,712,Spain,Female,29,7,77919.78,1,1,0,122547.58,0,0,3,SILVER,983,SILVER,0,18-30,6-8 years,Medium,High,2782.63,231.89,Medium,19478.41,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
8590,15637829,Sharpe,691,France,Female,34,7,0.0,2,0,1,161559.12,0,0,5,PLATINUM,591,PLATINUM,0,31-40,6-8 years,Medium,Very High,1343.3,111.94,Medium,9403.1,Gold,0.0,0,Active,No Credit Card,2 product(s)
8591,15633194,Osborne,771,France,Female,41,10,108309.0,4,1,1,137510.41,1,1,2,SILVER,759,SILVER,1,41-50,9-10 years,High,High,3713.23,309.44,Very High,37132.3,Platinum,3713.23,1,Active,Has Credit Card,3+ products
8592,15611635,Chu,678,Spain,Female,39,6,0.0,1,0,1,185366.56,0,0,4,GOLD,965,GOLD,0,31-40,6-8 years,Medium,Very High,1529.33,127.44,Medium,9175.98,Silver,0.0,0,Active,No Credit Card,1 product(s)
8593,15638774,Chong,719,Spain,Female,40,9,0.0,2,1,0,182224.14,0,0,1,GOLD,238,GOLD,0,31-40,9-10 years,Medium,Very High,1270.12,105.84,Medium,11431.08,Gold,0.0,1,Inactive,Has Credit Card,2 product(s)
8594,15722037,Alvarez,610,Germany,Male,36,7,115462.02,1,0,1,42581.04,0,0,5,GOLD,295,GOLD,0,31-40,6-8 years,High,Low,2789.65,232.47,Medium,19527.55,Gold,0.0,0,Active,No Credit Card,1 product(s)
8595,15672930,Palerma,722,Spain,Male,37,9,0.0,2,1,0,31921.95,0,0,4,GOLD,379,GOLD,0,31-40,9-10 years,Medium,Low,589.11,49.09,Low,5301.99,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
8596,15668774,Chiemenam,758,Germany,Female,23,5,122739.1,1,1,0,102460.84,1,1,5,GOLD,546,GOLD,1,18-30,3-5 years,High,High,3360.09,280.01,High,16800.45,Gold,3360.09,1,Inactive,Has Credit Card,1 product(s)
8597,15780966,Pritchard,709,France,Female,32,2,0.0,2,0,0,109681.29,0,0,5,DIAMOND,891,DIAMOND,0,31-40,0-2 years,Medium,High,1233.91,102.83,Medium,2467.82,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
8598,15659694,Wallis,634,Germany,Female,53,3,113781.5,2,1,1,106345.05,1,1,5,GOLD,559,GOLD,1,51-60,3-5 years,High,High,3326.86,277.24,High,9980.58,Gold,3326.86,1,Active,Has Credit Card,2 product(s)
8599,15624424,Palerma,678,Spain,Female,49,1,0.0,2,1,1,102472.9,0,0,1,GOLD,502,GOLD,0,41-50,0-2 years,Medium,High,1003.36,83.61,Low,1003.36,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8600,15708713,Hill,633,France,Male,35,3,0.0,2,1,1,36249.76,0,0,2,GOLD,376,GOLD,0,31-40,3-5 years,Medium,Low,609.25,50.77,Low,1827.75,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8601,15755405,Hudson,710,France,Male,43,9,128284.45,1,1,0,32996.89,1,1,5,PLATINUM,538,PLATINUM,1,41-50,9-10 years,Very High,Low,3119.67,259.97,High,28077.03,Platinum,3119.67,1,Inactive,Has Credit Card,1 product(s)
8602,15647570,Chung,640,Germany,Male,45,8,120591.19,1,0,0,195123.94,0,0,5,GOLD,938,GOLD,0,41-50,6-8 years,High,Very High,3976.44,331.37,Very High,31811.52,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
8603,15684348,Zhdanova,656,France,Male,63,8,0.0,2,0,1,57014.43,0,0,5,DIAMOND,742,DIAMOND,0,61+,6-8 years,Medium,Medium,896.07,74.67,Low,7168.56,Silver,0.0,0,Active,No Credit Card,2 product(s)
8604,15702541,Fraser,551,France,Female,59,2,166968.28,1,1,0,159483.76,1,1,4,SILVER,654,SILVER,1,51-60,0-2 years,Very High,Very High,4583.78,381.98,Very High,9167.56,Silver,4583.78,1,Inactive,Has Credit Card,1 product(s)
8605,15646942,Meng,786,Spain,Female,39,7,0.0,2,0,0,100929.59,0,0,3,SILVER,958,SILVER,0,31-40,6-8 years,Medium,High,1223.65,101.97,Medium,8565.55,Silver,0.0,0,Inactive,No Credit Card,2 product(s)
8606,15748920,Cherkasova,561,France,Female,49,8,0.0,2,1,1,12513.07,0,0,1,SILVER,517,SILVER,0,41-50,6-8 years,Medium,Low,561.07,46.76,Low,4488.56,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8607,15694581,Rawlings,807,Spain,Male,42,5,0.0,2,1,1,74900.9,0,0,2,DIAMOND,791,DIAMOND,0,41-50,3-5 years,Medium,Medium,1010.0,84.17,Low,5050.0,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8608,15643215,Jen,602,Germany,Male,38,2,71667.97,2,0,0,137111.89,0,0,3,DIAMOND,280,DIAMOND,0,31-40,0-2 years,Medium,High,2498.92,208.24,Medium,4997.84,Silver,0.0,0,Inactive,No Credit Card,2 product(s)
8609,15649060,Chien,727,Germany,Female,31,3,82729.47,2,1,0,60212.51,0,0,4,DIAMOND,303,DIAMOND,0,31-40,3-5 years,Medium,Medium,2347.15,195.6,Medium,7041.45,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
8610,15774258,Gorbunov,678,France,Male,40,1,0.0,2,1,1,187343.4,0,0,3,PLATINUM,505,PLATINUM,0,31-40,0-2 years,Medium,Very High,1429.22,119.1,Medium,1429.22,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8611,15731553,Lucas,730,France,Male,23,8,0.0,2,1,0,183284.53,0,0,3,SILVER,537,SILVER,0,18-30,6-8 years,Medium,Very High,1424.92,118.74,Medium,11399.36,Gold,0.0,0,Inactive,Has Credit Card,2 product(s)
8612,15617029,Young,596,Spain,Female,30,1,0.0,2,1,0,8125.39,0,0,1,DIAMOND,951,DIAMOND,0,18-30,0-2 years,Medium,Low,756.13,63.01,Low,756.13,Bronze,0.0,1,Inactive,Has Credit Card,2 product(s)
8613,15780716,Colombo,686,Germany,Male,39,3,129626.19,2,1,1,103220.56,0,0,5,PLATINUM,813,PLATINUM,0,31-40,3-5 years,Very High,High,3755.13,312.93,Very High,11265.39,Gold,0.0,0,Active,Has Credit Card,2 product(s)
8614,15577018,Tsao,684,Germany,Female,26,2,114035.39,1,0,0,96885.19,0,0,4,PLATINUM,383,PLATINUM,0,18-30,0-2 years,High,Medium,3076.63,256.39,High,6153.26,Silver,0.0,0,Inactive,No Credit Card,1 product(s)
8615,15809515,Lewis,797,Germany,Male,32,1,151922.94,1,1,0,8877.06,0,0,2,GOLD,848,GOLD,0,31-40,0-2 years,Very High,Low,3626.84,302.24,Very High,3626.84,Bronze,0.0,1,Inactive,Has Credit Card,1 product(s)
8616,15789924,Hussain,658,France,Female,39,4,0.0,1,1,1,147530.06,0,0,3,GOLD,745,GOLD,0,31-40,3-5 years,Medium,High,1230.15,102.51,Medium,4920.6,Silver,0.0,0,Active,Has Credit Card,1 product(s)
8617,15725076,Anderson,653,Spain,Female,27,6,107751.68,2,1,1,33389.42,0,0,3,GOLD,563,GOLD,0,18-30,6-8 years,High,Low,2843.48,236.96,High,17060.88,Gold,0.0,0,Active,Has Credit Card,2 product(s)
8618,15672481,Ulyanov,641,France,Male,37,6,0.0,2,1,0,45309.24,0,0,5,DIAMOND,940,DIAMOND,0,31-40,6-8 years,Medium,Low,936.55,78.05,Low,5619.3,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
8619,15574115,Shaw,656,Spain,Female,41,6,101179.23,2,1,1,35230.61,0,0,2,GOLD,239,GOLD,0,41-50,6-8 years,High,Low,2559.24,213.27,Medium,15355.44,Gold,0.0,0,Active,Has Credit Card,2 product(s)
8620,15661830,Lucciano,750,Spain,Female,36,6,0.0,2,1,1,59816.41,0,0,3,PLATINUM,371,PLATINUM,0,31-40,6-8 years,Medium,Medium,724.58,60.38,Low,4347.48,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8621,15665879,Gordon,768,France,Female,40,8,0.0,2,0,1,69080.46,0,0,5,GOLD,334,GOLD,0,31-40,6-8 years,Medium,Medium,752.4,62.7,Low,6019.2,Silver,0.0,0,Active,No Credit Card,2 product(s)
8622,15673820,Woodward,568,France,Male,33,7,0.0,2,1,0,143450.61,0,0,1,PLATINUM,392,PLATINUM,0,31-40,6-8 years,Medium,High,1153.25,96.1,Low,8072.75,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
8623,15747772,Cunningham,706,Germany,Male,36,9,58571.18,2,1,0,40774.01,0,0,4,PLATINUM,329,PLATINUM,0,31-40,9-10 years,Medium,Low,1779.79,148.32,Medium,16018.11,Gold,0.0,0,Inactive,Has Credit Card,2 product(s)
8624,15666197,Boni,430,Germany,Female,38,8,153058.64,1,1,0,99377.27,0,0,2,SILVER,393,SILVER,0,31-40,6-8 years,Very High,Medium,3874.56,322.88,Very High,30996.48,Platinum,0.0,1,Inactive,Has Credit Card,1 product(s)
8625,15773639,Truscott,745,Germany,Male,35,4,98270.34,1,1,0,133617.43,0,0,5,DIAMOND,271,DIAMOND,0,31-40,3-5 years,High,High,2888.99,240.75,High,11555.96,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
8626,15581893,Ginikanwa,747,France,Male,43,1,130788.71,1,0,1,101495.0,1,1,4,PLATINUM,292,PLATINUM,1,41-50,0-2 years,Very High,High,3389.25,282.44,High,3389.25,Bronze,3389.25,1,Active,No Credit Card,1 product(s)
8627,15672447,Bailey,657,Germany,Male,40,7,99165.84,1,0,1,119333.95,1,1,5,SILVER,267,SILVER,1,31-40,6-8 years,High,High,2833.49,236.12,Medium,19834.43,Platinum,2833.49,1,Active,No Credit Card,1 product(s)
8628,15777830,Hutchinson,639,France,Female,42,4,0.0,2,0,0,167682.37,0,0,2,GOLD,968,GOLD,0,41-50,3-5 years,Medium,Very High,1562.41,130.2,Medium,6249.64,Silver,0.0,1,Inactive,No Credit Card,2 product(s)
8629,15713890,Maclean,704,France,Male,44,3,0.0,2,0,1,152884.85,0,0,5,DIAMOND,323,DIAMOND,0,41-50,3-5 years,Medium,Very High,1165.92,97.16,Low,3497.76,Bronze,0.0,0,Active,No Credit Card,2 product(s)
8630,15577598,Chiang,651,Spain,Male,23,4,115636.05,2,1,0,70400.86,0,0,5,PLATINUM,710,PLATINUM,0,18-30,3-5 years,High,Medium,3259.73,271.64,High,13038.92,Gold,0.0,0,Inactive,Has Credit Card,2 product(s)
8631,15786042,Willmore,706,Germany,Female,44,2,185932.18,2,1,0,65413.41,0,0,5,GOLD,536,GOLD,0,41-50,0-2 years,Very High,Medium,4553.71,379.48,Very High,9107.42,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
8632,15753462,Godson,632,Germany,Male,30,2,72549.0,2,0,1,182728.8,0,0,3,DIAMOND,845,DIAMOND,0,18-30,0-2 years,Medium,Very High,3027.12,252.26,High,6054.24,Silver,0.0,0,Active,No Credit Card,2 product(s)
8633,15759690,Smith,751,France,Male,42,4,0.0,2,1,1,81442.6,0,0,2,DIAMOND,997,DIAMOND,0,41-50,3-5 years,Medium,Medium,1145.71,95.48,Low,4582.84,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8634,15801414,Bitter,767,France,Female,35,2,0.0,2,0,0,144251.38,0,0,4,PLATINUM,348,PLATINUM,0,31-40,0-2 years,Medium,High,1135.26,94.6,Low,2270.52,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
8635,15656141,Ts'ao,741,France,Male,39,5,0.0,1,0,1,40207.06,0,0,1,SILVER,933,SILVER,0,31-40,3-5 years,Medium,Low,787.54,65.63,Low,3937.7,Bronze,0.0,0,Active,No Credit Card,1 product(s)
8636,15608701,Chialuka,651,Germany,Male,29,3,121890.06,1,1,0,54530.51,1,1,1,GOLD,499,GOLD,1,18-30,3-5 years,High,Medium,3079.95,256.66,High,9239.85,Silver,3079.95,1,Inactive,Has Credit Card,1 product(s)
8637,15582892,Scott,601,France,Male,46,2,99786.07,1,1,1,32683.88,1,1,1,SILVER,284,SILVER,1,41-50,0-2 years,High,Low,2421.14,201.76,Medium,4842.28,Silver,2421.14,1,Active,Has Credit Card,1 product(s)
8638,15632967,Feng,520,France,Male,34,3,0.0,2,1,1,104703.96,0,0,5,DIAMOND,867,DIAMOND,0,31-40,3-5 years,Medium,High,1197.02,99.75,Low,3591.06,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8639,15587573,Castiglione,626,Germany,Male,27,4,115084.53,2,0,1,26907.43,0,0,3,GOLD,258,GOLD,0,18-30,3-5 years,High,Low,2805.23,233.77,Medium,11220.92,Gold,0.0,0,Active,No Credit Card,2 product(s)
8640,15654891,He,811,France,Male,30,6,0.0,2,1,1,180591.32,0,0,2,SILVER,227,SILVER,0,18-30,6-8 years,Medium,Very High,1256.46,104.7,Medium,7538.76,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8641,15611365,Fanucci,730,France,Female,32,9,127661.69,1,0,0,60905.51,0,0,3,DIAMOND,542,DIAMOND,0,31-40,9-10 years,Very High,Medium,3248.76,270.73,High,29238.84,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
8642,15749103,Ginikanwa,604,Germany,Female,47,4,118907.6,1,0,1,47777.15,1,1,3,PLATINUM,808,PLATINUM,1,41-50,3-5 years,High,Low,3141.04,261.75,High,12564.16,Gold,3141.04,1,Active,No Credit Card,1 product(s)
8643,15810203,Manning,499,Germany,Female,44,6,77627.33,2,1,0,108222.68,0,0,4,PLATINUM,545,PLATINUM,0,41-50,6-8 years,Medium,High,2606.16,217.18,Medium,15636.96,Gold,0.0,0,Inactive,Has Credit Card,2 product(s)
8644,15813660,Forlonge,754,Spain,Male,40,2,160625.17,1,0,1,3554.63,0,0,1,DIAMOND,816,DIAMOND,0,31-40,0-2 years,Very High,Low,3758.28,313.19,Very High,7516.56,Silver,0.0,0,Active,No Credit Card,1 product(s)
8645,15605673,Liang,716,Spain,Female,29,8,0.0,2,0,0,78616.92,0,0,1,DIAMOND,785,DIAMOND,0,18-30,6-8 years,Medium,Medium,1025.58,85.46,Low,8204.64,Silver,0.0,1,Inactive,No Credit Card,2 product(s)
8646,15669282,Uchechukwu,636,France,Female,20,10,124266.86,1,0,0,100566.81,0,0,5,DIAMOND,606,DIAMOND,0,18-30,9-10 years,High,High,3411.17,284.26,High,34111.7,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
8647,15792726,Sung,470,France,Female,25,8,127974.06,2,1,1,183259.35,0,0,3,DIAMOND,360,DIAMOND,0,18-30,6-8 years,Very High,Very High,3895.78,324.65,Very High,31166.24,Platinum,0.0,0,Active,Has Credit Card,2 product(s)
8648,15593241,Tochukwu,444,France,Male,43,3,0.0,2,1,1,159131.21,0,0,4,PLATINUM,979,PLATINUM,0,41-50,3-5 years,Medium,Very High,1525.16,127.1,Medium,4575.48,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8649,15683053,Reyna,809,Spain,Female,48,2,0.0,1,1,0,160976.85,1,1,1,GOLD,994,GOLD,1,41-50,0-2 years,Medium,Very High,1421.88,118.49,Medium,2843.76,Bronze,1421.88,1,Inactive,Has Credit Card,1 product(s)
8650,15632736,Liang,850,Germany,Female,30,3,104911.35,2,1,1,42933.26,0,0,3,PLATINUM,334,PLATINUM,0,18-30,3-5 years,High,Low,2719.89,226.66,Medium,8159.67,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8651,15731865,Unwin,637,France,Male,27,1,0.0,2,1,0,91291.2,0,0,4,GOLD,304,GOLD,0,18-30,0-2 years,Medium,Medium,848.46,70.7,Low,848.46,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
8652,15760450,Rutherford,512,France,Male,43,1,0.0,2,1,1,52471.36,0,0,4,GOLD,574,GOLD,0,41-50,0-2 years,Medium,Medium,789.36,65.78,Low,789.36,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8653,15787204,Howe,774,Spain,Female,43,1,110646.54,1,0,0,108804.28,0,0,4,GOLD,597,GOLD,0,41-50,0-2 years,High,High,3175.45,264.62,High,3175.45,Bronze,0.0,0,Inactive,No Credit Card,1 product(s)
8654,15650454,Tran,641,France,Male,57,5,0.0,2,1,1,122449.18,0,0,3,SILVER,720,SILVER,0,51-60,3-5 years,Medium,High,1212.25,101.02,Medium,6061.25,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8655,15573730,Thompson,586,Germany,Male,42,6,126704.49,2,1,0,41682.3,0,0,4,GOLD,233,GOLD,0,41-50,6-8 years,High,Low,3099.0,258.25,High,18594.0,Gold,0.0,0,Inactive,Has Credit Card,2 product(s)
8656,15705050,Linger,611,France,Male,30,9,0.0,2,1,1,148887.69,0,0,4,GOLD,973,GOLD,0,18-30,9-10 years,Medium,High,1470.94,122.58,Medium,13238.46,Gold,0.0,0,Active,Has Credit Card,2 product(s)
8657,15791342,Johnston,660,Spain,Male,31,1,84560.04,1,1,1,137784.25,0,0,1,PLATINUM,357,PLATINUM,0,31-40,0-2 years,Medium,High,2678.62,223.22,Medium,2678.62,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
8658,15684316,Udokamma,532,France,Male,43,9,0.0,2,0,0,190573.91,1,1,3,PLATINUM,559,PLATINUM,1,41-50,9-10 years,Medium,Very High,1472.37,122.7,Medium,13251.33,Gold,1472.37,1,Inactive,No Credit Card,2 product(s)
8659,15700540,Barrera,557,Germany,Female,38,2,129893.56,1,0,0,102076.03,0,0,2,PLATINUM,823,PLATINUM,0,31-40,0-2 years,Very High,High,3639.75,303.31,Very High,7279.5,Silver,0.0,1,Inactive,No Credit Card,1 product(s)
8660,15770631,Sutherland,730,Spain,Male,25,5,167385.81,1,1,1,56307.51,0,0,5,PLATINUM,452,PLATINUM,0,18-30,3-5 years,Very High,Medium,3975.25,331.27,Very High,19876.25,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
8661,15790594,Bednall,535,France,Female,27,6,0.0,2,0,1,49775.58,0,0,3,SILVER,786,SILVER,0,18-30,6-8 years,Medium,Low,881.88,73.49,Low,5291.28,Silver,0.0,0,Active,No Credit Card,2 product(s)
8662,15604020,Otoole,773,Germany,Female,36,4,105858.71,1,0,1,4395.45,0,0,2,DIAMOND,564,DIAMOND,0,31-40,3-5 years,High,Low,2541.15,211.76,Medium,10164.6,Gold,0.0,0,Active,No Credit Card,1 product(s)
8663,15637599,Cremonesi,510,Germany,Female,44,4,123070.89,1,1,0,28461.29,1,1,3,DIAMOND,875,DIAMOND,1,41-50,3-5 years,High,Low,3161.22,263.44,High,12644.88,Gold,3161.22,1,Inactive,Has Credit Card,1 product(s)
8664,15736578,Hamilton,539,France,Male,39,1,0.0,1,1,1,28184.7,0,0,5,PLATINUM,445,PLATINUM,0,31-40,0-2 years,Medium,Low,483.42,40.29,Low,483.42,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
8665,15666332,Donaldson,690,Spain,Female,48,2,0.0,2,1,1,3149.1,0,0,3,GOLD,712,GOLD,0,41-50,0-2 years,Medium,Low,611.75,50.98,Low,1223.5,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8666,15727291,McKay,821,France,Female,40,1,0.0,2,1,0,194273.12,0,0,5,SILVER,935,SILVER,0,31-40,0-2 years,Medium,Very High,1678.87,139.91,Medium,1678.87,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
8667,15785920,Black,687,Germany,Male,35,1,125141.24,2,1,1,148537.07,0,0,3,SILVER,299,SILVER,0,31-40,0-2 years,High,High,3635.01,302.92,Very High,3635.01,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8668,15658987,Kane,557,France,Female,46,4,96173.17,2,1,1,116378.31,0,0,5,GOLD,689,GOLD,0,41-50,3-5 years,Medium,High,3089.85,257.49,High,12359.4,Gold,0.0,0,Active,Has Credit Card,2 product(s)
8669,15687719,She,532,Spain,Female,37,5,0.0,2,0,1,6761.84,0,0,5,DIAMOND,527,DIAMOND,0,31-40,3-5 years,Medium,Low,537.31,44.78,Low,2686.55,Bronze,0.0,0,Active,No Credit Card,2 product(s)
8670,15799641,Bruno,540,Spain,Male,39,2,0.0,2,1,0,81995.92,0,0,4,DIAMOND,868,DIAMOND,0,31-40,0-2 years,Medium,Medium,1083.98,90.33,Low,2167.96,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
8671,15758702,Watson,705,France,Female,55,8,0.0,2,1,1,14392.68,0,0,3,GOLD,761,GOLD,0,51-60,6-8 years,Medium,Low,692.46,57.71,Low,5539.68,Silver,0.0,0,Active,Has Credit Card,2 product(s)
8672,15689526,Shih,542,Germany,Female,35,9,127543.11,2,1,0,468.94,1,1,4,SILVER,732,SILVER,1,31-40,9-10 years,High,Low,3159.21,263.27,High,28432.89,Platinum,3159.21,1,Inactive,Has Credit Card,2 product(s)
8673,15586848,Rose,706,France,Male,38,1,0.0,2,1,0,122379.54,0,0,1,SILVER,884,SILVER,0,31-40,0-2 years,Medium,High,1293.9,107.82,Medium,1293.9,Bronze,0.0,1,Inactive,Has Credit Card,2 product(s)
8674,15707637,Zikoranachukwudimma,765,France,Female,56,1,0.0,1,1,0,13228.93,1,1,3,PLATINUM,944,PLATINUM,1,51-60,0-2 years,Medium,Low,658.14,54.84,Low,658.14,Bronze,658.14,1,Inactive,Has Credit Card,1 product(s)
8675,15719426,Cole,529,France,Male,67,8,103101.56,2,1,1,154002.02,1,1,5,PLATINUM,572,PLATINUM,1,61+,6-8 years,High,Very High,3358.04,279.84,High,26864.32,Platinum,3358.04,1,Active,Has Credit Card,2 product(s)
